date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:48	78607/78607	---M--	200	added ('OK')	image/png	etag:%2264adc7fd-1330f%22	https://brightelectronicsdallas.com/wp-content/uploads/2023/07/service-226x300.png	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/2023/07/service-226x300.png	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:48	69752/69752	---MCZ	200	added ('OK')	application/javascript	etag:W/%22679b1101-11078%22	https://brightelectronicsdallas.com/wp-content/plugins/popup-maker/assets/js/site.min.js?defer&ver=1.20.4	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/plugins/popup-maker/assets/js/site.min4263.js	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:48	398362/398362	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267aaf608-6141a%22	https://brightelectronicsdallas.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-1cd61a90b4f205d6966552b919bd4e33.js	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-1cd61a90b4f205d6966552b919bd4e33.js	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:49	9427/9427	---M--	200	added ('OK')	image/gif	etag:%22675344f4-24d3%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:49	92172/92172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221680c-6289e56ebe49d%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:50	92084/92084	---M--	200	added ('OK')	font/woff	etag:%22675344f4-167b4%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.woff	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.woff	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:50	92008/92008	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22675344f4-16768%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.ttf	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.ttf	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:51	92172/92172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221680c-6289e56ebe49d%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot?	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modulesd41d.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:51	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-6289e56ebe0b5%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:51	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-6289e56ebe0b5%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot?	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400d41d.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:51	13548/13548	---M--	200	added ('OK')	font/woff2	etag:%22675344f4-34ec%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.woff2	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.woff2	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:52	16772/16772	---M--	200	added ('OK')	font/woff	etag:%22675344f4-4184%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.woff	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.woff	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:52	34052/34052	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22675344f4-8504%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.ttf	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.ttf	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:53	144714/144714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22675344f4-2354a%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.svg	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.svg	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:53	299189/299189	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22675344f4-490b5%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.svg	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.svg	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:53	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-6289e56ebaded%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.eot?	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900d41d.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:53	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-6289e56ebaded%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.eot	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:54	80300/80300	---M--	200	added ('OK')	font/woff2	etag:%22675344f4-139ac%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.woff2	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.woff2	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:55	104280/104280	---M--	200	added ('OK')	font/woff	etag:%22675344f4-19758%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.woff	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.woff	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:56	204528/204528	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22675344f4-31ef0%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.ttf	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.ttf	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:56	136822/136822	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221676-6289e56ebc175%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.eot	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:57	917575/917575	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22675344f4-e0047%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.svg	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-solid-900.svg	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:59	78460/78460	---M--	200	added ('OK')	font/woff2	etag:%22675344f4-1327c%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.woff2	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.woff2	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:59	92136/92136	---M--	200	added ('OK')	font/woff	etag:%22675344f4-167e8%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.woff	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.woff	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:59	136822/136822	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221676-6289e56ebc175%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.eot?	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400d41d.eot	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:29:59	136516/136516	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22675344f4-21544%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.ttf	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.ttf	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:30:00	747545/747545	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22675344f4-b6819%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.svg	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-brands-400.svg	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:30:00	1422/1422	---M--	200	added ('OK')	image/gif	etag:%22675344f4-58e%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	(from https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4)
21:30:01	60783/60783	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Apr%202025%2016:00:01%20GMT	https://brightelectronicsdallas.com/wp-content/uploads/2022/09/device-repair-20.jpg	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/2022/09/device-repair-20.jpg	(from https://brightelectronicsdallas.com/wp-content/et-cache/151/et-core-unified-tb-290-deferred-151.min.css?ver=1733528635)
